,name,rating,review,company_type,Head_Quarters,Company_Age,No_of_Employee
1475,Neuland Laboratori...,4.1,(245 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 2 more",37 years old,1k-5k employees (Global)
1476,TTK Prestige,4.0,(245 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 50 more",66 years old,501-1k employees (Global)
1477,Busybees Logistics...,4.2,(245 Reviews),Private,"Pune,Maharashtra + 75 more",6 years old,501-1k employees (Global)
1478,Ashirvad Pipes,4.3,(245 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 39 more",46 years old,1k-5k employees (Global)
1479,Arvato,3.5,(245 Reviews),Private,Gütersloh + 8 more,25 years old,50k-1 Lakh employees (Global)
1480,Kellogg,4.3,(245 Reviews),Private,"Battle Creek,Michigan + 43 more",115 years old,1k-5k employees (India)
1481,Samsung Research,3.1,(245 Reviews),Private,Seocho-gu + 7 more,52 years old,1k-5k employees (India)
1482,Tavant Technologie...,4.1,(244 Reviews),Private,"Santa Clara,California + 4 more",21 years old,1k-5k employees (India)
1483,Pyramid IT Consult...,3.4,(244 Reviews),Private,"Atlanta,Georgia + 17 more",25 years old,51-200 employees (India)
1484,QHTalbros,3.8,(244 Reviews),Public,"Gurgaon/Gurugram,Haryana + 15 more",35 years old,501-1k employees (Global)
1485,Fena,4.0,(244 Reviews),Private,"Delhi/NCR,Delhi + 50 more",45 years old,501-1k employees (Global)
1486,Hetero Healthcare,3.8,(244 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 35 more",15 years old,1k-5k employees (Global)
1487,L & W Construction...,3.7,(244 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 13 more",15 years old,1k-5k employees (India)
1488,MattsenKumar,3.6,(244 Reviews),Private,"Woodburn,Oregon + 5 more",11 years old,501-1k employees (India)
1489,Poly Medicure,3.7,(243 Reviews),Public,"Delhi/NCR,Delhi + 24 more",24 years old,1k-5k employees (Global)
1490,NCCCL,3.5,(243 Reviews),Private,"Mumbai,Maharashtra + 16 more",75 years old,1k-5k employees (Global)
1491,Xavient Digital - ...,3.7,(243 Reviews),"Simi Valley,California + 4 more",19 years old,1k-5k employees (India),
1492,Grand Hyatt,4.3,(243 Reviews),Private,"Chicago,Illinois + 15 more",64 years old,1 Lakh+ employees (Global)
1493,Magna Internationa...,3.6,(243 Reviews),Public,Aurora + 11 more,64 years old,1k-5k employees (India)
1494,NoBrokerHOOD,4.2,(243 Reviews),Pune + 16 more,501-1k employees (India),,
1495,Times Internet,3.9,(242 Reviews),Public,Gurugram + 15 more,22 years old,1k-5k employees (Global)
1496,Shilpa Medicare,3.8,(242 Reviews),Public,"Raichur,Karnataka + 14 more",34 years old,1k-5k employees (Global)
1497,UNO Minda,4.0,(242 Reviews),Gurgaon + 27 more,63 years old,10k-50k employees (Global),
1498,Ryan International...,3.8,(242 Reviews),Public,"Mumbai,Maharashtra + 33 more",29 years old,10k-50k employees (Global)
1499,Minda Furukawa Ele...,4.2,(242 Reviews),Private,"Rewari,Haryana + 11 more",14 years old,1k-5k employees (Global)
1500,Cpf India,4.2,(242 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 30 more",27 years old,501-1k employees (Global)
1501,JK Technosoft,3.3,(242 Reviews),Public,"Noida,Uttar Pradesh + 14 more",27 years old,1k-5k employees (Global)
1502,Kataria Automobile...,3.6,(242 Reviews),"Ahmedabad,Gujarat + 9 more",31 years old,1k-5k employees (Global),
1503,Hapag-Lloyd,4.0,(241 Reviews),Private,Hamburg + 6 more,174 years old,1k-5k employees (India)
1504,TTK Healthcare,4.3,(241 Reviews),Public,"Chennai,Tamil Nadu + 47 more",93 years old,1k-5k employees (Global)
1505,Allianz Technology,4.4,(241 Reviews),Munich + 2 more,131 years old,1k-5k employees (India),
1506,Castrol,4.1,(241 Reviews),Public,"Pangbourne,Berkshire + 55 more",122 years old,1k-5k employees (India)
1507,Investors Clinic,2.6,(241 Reviews),"Noida,Uttar Pradesh + 16 more",12 years old,1k-5k employees (Global),
1508,CtrlS,4.1,(241 Reviews),Private,Hyderabad + 11 more,14 years old,201-500 employees (India)
1509,Pratham Education ...,4.5,(241 Reviews),Private,"Delhi/NCR,Delhi + 53 more",26 years old,5k-10k employees (Global)
